,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,cohen_kappa,roc_auc,pr_auc,inference_latency_ms,memory_usage_mb,gpu_utilization_mb,train_time_sec
A09,0.24647887323943662,0.24320226917057902,0.1534876041454989,0.24320226917057902,0.7477742786584907,0.1189862369922793,-0.008981489167427581,0.5087924656155789,0.26659558304502506,1.2428903243911098,440.015625,0.0,0.362699031829834
mean,0.24647887323943662,0.24320226917057902,0.1534876041454989,0.24320226917057902,0.7477742786584907,0.1189862369922793,-0.008981489167427581,0.5087924656155789,0.26659558304502506,1.2428903243911098,440.015625,0.0,0.362699031829834
