,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,cohen_kappa,roc_auc,pr_auc,inference_latency_ms,memory_usage_mb,gpu_utilization_mb,train_time_sec
A09,0.33098591549295775,0.3317781690140845,0.40434027777777776,0.3317781690140845,0.7771727274834572,0.3025445877522231,0.10868847043277174,0.5701341275550834,0.316370370286283,1.3864930246917295,249.96875,0.0,0.2623789310455322
mean,0.33098591549295775,0.3317781690140845,0.40434027777777776,0.3317781690140845,0.7771727274834572,0.3025445877522231,0.10868847043277174,0.5701341275550834,0.316370370286283,1.3864930246917295,249.96875,0.0,0.2623789310455322
