,accuracy,balanced_accuracy,precision,recall,specificity,f1_score,cohen_kappa,roc_auc,pr_auc,inference_latency_ms,memory_usage_mb,gpu_utilization_mb,train_time_sec
A09,0.3415492957746479,0.3416205566733736,0.2889251997095134,0.3416205566733736,0.7807068414129047,0.268750929635602,0.12258789320644992,0.6486960852977772,0.33296146715073893,0.349712203925764,383.546875,0.0,2.6248557567596436
mean,0.3415492957746479,0.3416205566733736,0.2889251997095134,0.3416205566733736,0.7807068414129047,0.268750929635602,0.12258789320644992,0.6486960852977772,0.33296146715073893,0.349712203925764,383.546875,0.0,2.6248557567596436
